"Draft Planner Cheat Sheet",ADP2,Average Draft Position from Draft Planner,08/07/2014,387
Rank,ID,"Last Name","First Name",Position,Team,ADP,"Bye Week"
1,9448,McCoy,LeSean,RB,PHI,2.27,7
2,9054,Charles,Jamaal,RB,KCC,2.28,6
3,8658,Peterson,Adrian,RB,MIN,4.67,10
4,8657,Johnson,Calvin,WR,DET,5.06,9
5,9122,Forte,Matt,RB,CHI,6.14,9
6,11201,Lacy,Eddie,RB,GBP,7.19,9
7,9925,Graham,Jimmy,TE,NOR,8.41,6
8,9884,Thomas,Demaryius,WR,DEN,8.64,4
9,9823,Bryant,Dez,WR,DAL,10.55,11
10,10261,Green,A.J.,WR,CIN,11.52,4
11,10271,Jones,Julio,WR,ATL,14.76,9
12,11174,Ball,Montee,RB,DEN,15.45,4
13,10302,Murray,DeMarco,RB,DAL,15.97,11
14,3291,Manning,Peyton,QB,DEN,16.00,4
15,8360,Marshall,Brandon,WR,CHI,16.26,9
16,11192,Bell,Le'Veon,RB,PIT,16.97,12
17,8670,Lynch,Marshawn,RB,SEA,17.09,4
18,11193,Bernard,Giovani,RB,CIN,17.35,4
19,9690,Foster,Arian,RB,HOU,21.76,10
20,10722,Jeffery,Alshon,WR,CHI,22.17,9
21,9988,Brown,Antonio,WR,PIT,22.52,12
22,9118,Nelson,Jordy,WR,GBP,22.88,9
23,7836,Rodgers,Aaron,QB,GBP,23.56,9
24,4925,Brees,Drew,QB,NOR,24.63,6
25,10709,Martin,Doug,RB,TBB,25.09,7
26,10308,Cobb,Randall,WR,GBP,26.52,9
27,9902,Gronkowski,Rob,TE,NEP,27.19,10
28,10870,Morris,Alfred,RB,WAS,29.45,10
29,10372,Thomas,Julius,TE,DEN,30.22,4
30,11189,Stacy,Zac,RB,STL,30.54,4
31,11175,Ellington,Andre,RB,ARZ,31.96,4
32,11222,Allen,Keenan,WR,SDC,32.47,10
33,9822,Spiller,C.J.,RB,BUF,34.16,9
34,9250,Garcon,Pierre,WR,WAS,36.75,10
35,10080,Cruz,Victor,WR,NYG,38.26,8
36,8243,Bush,Reggie,RB,DET,38.54,9
37,7873,Jackson,Vincent,WR,TBB,40.75,7
38,7393,Fitzgerald,Larry,WR,ARZ,42.81,4
39,6931,Johnson,Andre,WR,HOU,43.52,10
40,11225,Patterson,Cordarrelle,WR,MIN,44.44,10
41,9427,Crabtree,Michael,WR,SFO,46.66,8
42,10303,Vereen,Shane,RB,NEP,47.56,10
43,9431,Stafford,Matthew,QB,DET,48.16,9
44,7839,White,Roddy,WR,ATL,49.52,9
45,9441,Harvin,Percy,WR,SEA,49.87,4
46,9851,Mathews,Ryan,RB,SDC,50.08,10
47,9880,Gerhart,Toby,RB,JAC,50.31,11
48,7653,Welker,Wes,WR,DEN,50.67,4
49,10695,Luck,Andrew,QB,IND,50.86,10
50,10352,Cameron,Jordan,TE,CLE,52.57,4
51,10721,Floyd,Michael,WR,ARZ,53.11,4
52,11653,Sankey,Bishop,RB,TEN,54.47,9
53,9075,Jackson,DeSean,WR,WAS,55.20,10
54,10706,Richardson,Trent,RB,IND,56.37,10
55,8247,Davis,Vernon,TE,SFO,57.51,8
56,9078,Johnson,Chris,RB,NYJ,57.60,11
57,10729,Hilton,T.Y.,WR,IND,57.68,10
58,9680,Jennings,Rashad,RB,NYG,60.25,8
59,9094,Rice,Ray,RB,BAL,60.74,11
60,10048,Bell,Joique,RB,DET,60.98,9
61,9907,Tate,Ben,RB,CLE,63.24,4
62,10699,Foles,Nick,QB,PHI,64.59,7
63,7877,Gore,Frank,RB,SFO,64.67,8
64,9436,Maclin,Jeremy,WR,PHI,66.06,7
65,10289,Smith,Torrey,WR,BAL,66.63,11
66,9662,Edelman,Julian,WR,NEP,67.94,10
